ste_name,Total Area (km2),Land Area (km2),Water Area Total (km2),Water Area Inland (km2),Water Area Coastal (km2),Water Area Great Lakes (km2),Water Area Territorial (km2),Population (2023),count_of_category_90078,count_of_category_90089,count_of_category_90331,count_of_category_90408,count_of_category_90541,count_of_category_90738,count_of_category_90749,count_of_category_90771,count_of_category_90804,count_of_category_90826,count_of_category_91256,count_of_category_91521,count_of_category_91523
Rhode Island,"4,001","2,678","1,324",470,165,0,688,"1,095,962",1961.0,248.0,138.0,1586.0,460.0,1025.0,732.0,99.0,590.0,447.0,236.0,48.0,288.0
South Carolina,"82,933","77,857","5,076","2,755",286,0,"2,036","5,373,555",8769.0,1948.0,644.0,6241.0,3061.0,4240.0,4652.0,518.0,2736.0,2660.0,1495.0,183.0,1290.0
South Dakota,"199,729","196,350","3,379","3,379",0,0,0,"919,318",1790.0,558.0,291.0,928.0,457.0,860.0,870.0,89.0,442.0,540.0,382.0,57.0,303.0
Tennessee,"109,153","106,798","2,355","2,355",0,0,0,"7,126,489",10956.0,2738.0,899.0,9669.0,3975.0,5758.0,5923.0,634.0,3936.0,2760.0,1602.0,160.0,1553.0
Texas,"695,662","676,587","19,075","14,546","1,040",0,"3,489","30,503,301",49253.0,10244.0,2559.0,33597.0,15977.0,21200.0,21606.0,2739.0,13229.0,10062.0,3683.0,762.0,5370.0
Utah,"219,882","212,818","7,064","7,064",0,0,0,"3,417,734",5375.0,845.0,305.0,3490.0,1665.0,2449.0,2800.0,152.0,1252.0,2059.0,407.0,93.0,1307.0
Vermont,"24,906","23,871","1,035","1,035",0,0,0,"647,464",1489.0,314.0,142.0,938.0,390.0,1090.0,809.0,72.0,382.0,602.0,325.0,37.0,406.0
Virginia,"110,787","102,279","8,508","3,320","4,053",0,"1,135","8,715,698",13039.0,2270.0,906.0,9511.0,4399.0,6944.0,6463.0,1090.0,3980.0,2889.0,1543.0,161.0,1709.0
Washington,"184,661","172,119","12,542","4,441","6,392",0,"1,709","7,812,880",10210.0,1599.0,647.0,8206.0,4249.0,7213.0,6181.0,658.0,3645.0,3084.0,1397.0,187.0,1958.0
West Virginia,"62,756","62,259",497,497,0,0,0,"1,770,071",3037.0,651.0,443.0,2316.0,795.0,1464.0,1401.0,119.0,1195.0,741.0,637.0,54.0,412.0
Wisconsin,"169,635","140,268","29,367","5,172",0,"24,195",0,"5,910,955",10155.0,1706.0,1070.0,7708.0,3387.0,5598.0,5471.0,352.0,2850.0,3427.0,1474.0,372.0,2069.0
Wyoming,"253,335","251,470","1,864","1,864",0,0,0,"584,057",966.0,330.0,206.0,800.0,429.0,553.0,686.0,31.0,326.0,572.0,227.0,62.0,354.0
